sample_id,source_path,source_format,species,concentration_ppmv,temperature_c,path_length_cm,is_sparse_class,split,quality_flags
da0eb3bb2b4bac7eef23e93cdfb783dda4749f66,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/spc_files/B-99 (   20.00ppm, 5.11m, 190C).spc",spc,Biodiesel,20.0,190.0,511.0,True,staging,
675f80890fd4c533b10a0d927f816214a4c8656d,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/spc_files/B-99 (  100.00ppm, 5.11m, 190C).spc",spc,Biodiesel,100.0,190.0,511.0,True,staging,
49d6d08538851aaa939d1ddb627ae4ea0ac39c2b,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/spc_files/B-99 (  200.00ppm, 5.11m, 190C).spc",spc,Biodiesel,200.0,190.0,511.0,True,staging,
af00202a7518a668aa842c7e2444e7eeaf7e4aae,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/spc_files/B-99 (  500.00ppm, 5.11m, 190C).spc",spc,Biodiesel,500.0,190.0,511.0,True,staging,
7006860e8bea273510e1c5843da57e77f8469144,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/spc_files/Ethylene (   9.74ppm, 5.11m, 190C).spc",spc,C2H4,9.74,190.0,511.0,False,train,
57e9e52f6477def3ac3c8e5a71a4c0a6d1b045b8,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/spc_files/Ethylene (  19.49ppm, 5.11m, 190C).spc",spc,C2H4,19.49,190.0,511.0,False,test,
5ca67325743d60cb157b05fabb68d96f56b93fbc,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/spc_files/Ethylene (  29.23ppm, 5.11m, 190C).spc",spc,C2H4,29.23,190.0,511.0,False,val,
0de96e84697a3b9df02b9003afe8586194a5c964,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/spc_files/Ethylene (  300.00ppm, 5.11m, 190C).spc",spc,C2H4,300.0,190.0,511.0,False,train,
3022ae95ec037c50b0c0376dd89857c6cc98ed0c,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/spc_files/Ethylene (  38.98ppm, 5.11m, 190C).spc",spc,C2H4,38.98,190.0,511.0,False,val,
80e943d4ca14e4d5f644d147f210636172d95299,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/spc_files/Ethylene (  48.72ppm, 5.11m, 190C).spc",spc,C2H4,48.72,190.0,511.0,False,train,
98e307584d2d1612dc5786a4cb9a50d678abcffe,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/spc_files/Ethylene (  58.46ppm, 5.11m, 190C).spc",spc,C2H4,58.46,190.0,511.0,False,train,
14da6ed16c030ef4ec630308b88982d251ff5b30,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/spc_files/Ethylene (  600.00ppm, 5.11m, 190C).spc",spc,C2H4,600.0,190.0,511.0,False,train,
69f3476f5b6f63d0878e3349f2ffd605625a0f70,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/spc_files/Ethylene (  68.21ppm, 5.11m, 190C).spc",spc,C2H4,68.21,190.0,511.0,False,test,
4782458ef5c1c514eb07638931f2c37c40a54b73,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/spc_files/Ethylene (  77.95ppm, 5.11m, 190C).spc",spc,C2H4,77.95,190.0,511.0,False,train,
d1d63e2e713c75f9360507c8cb88e2df2fb33984,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/spc_files/Ethylene (  87.70ppm, 5.11m, 190C).spc",spc,C2H4,87.7,190.0,511.0,False,train,
6a37845a165a4960a5201e4808ef24bcbcb75dfb,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/spc_files/Ethylene (  900.00ppm, 5.11m, 190C).spc",spc,C2H4,900.0,190.0,511.0,False,train,
b8eb57eebdd340abae21465c7221e083ac54a84a,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/spc_files/Ethylene (  97.44ppm, 5.11m, 190C).spc",spc,C2H4,97.44,190.0,511.0,False,train,
a5536241b4ac968cedb8fb20b6762e7f909dd98b,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/spc_files/Ethylene ( 1200.00ppm, 5.11m, 190C).spc",spc,C2H4,1200.0,190.0,511.0,False,test,
c4a9d27db9ddc4adfc4fa47339b31737e2d7cc1d,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/spc_files/Ethylene ( 1500.00ppm, 5.11m, 190C).spc",spc,C2H4,1500.0,190.0,511.0,False,train,
07dff5481d65bd2a7a90faef1cbe217ea71dadf5,"/Users/timkayser/Documents/ProgrammSupport/PyCharm/FTIR_ML_fitting/reference_spectra/spc_files/Ethylene ( 1800.00ppm, 5.11m, 190C).spc",spc,C2H4,1800.0,190.0,511.0,False,train,
